time,open,high,low,close,CCI,daily_bias,daily_cci,daily_prev_cci
1329256800,1350,1360.5,1340.4,1341.7,105.31762741619801,0,105.31762741619801,115.75240441424079
1329343200,1341.7,1359.6,1336.6,1357.1,116.89839880486943,0,116.89839880486943,105.31762741619801
1329429600,1357.1,1363.6,1355.3,1362.3,132.6095402546954,0,132.6095402546954,116.89839880486943
1329688800,1362.3,1371.6,1362.3,1368.8,144.14049023913722,0,144.14049023913722,132.6095402546954
1329775200,1368.8,1369.8,1357.7,1362.7,125.9836049886771,0,125.9836049886771,144.14049023913722
1329861600,1362.7,1365.9,1354.9,1358.6,111.05798300504965,0,111.05798300504965,125.9836049886771
1329948000,1358.6,1365.5,1352.1,1364.8,111.37109527777437,0,111.37109527777437,111.05798300504965
1330034400,1364.8,1370.3,1363.2,1364.5,115.60812589020014,0,115.60812589020014,111.37109527777437
1330293600,1364.5,1372.2,1354.5,1368.2,109.43979396417359,0,109.43979396417359,115.60812589020014
1330380000,1368.2,1375.2,1365.9,1372.9,118.31490581490606,0,118.31490581490606,109.43979396417359
1330466400,1372.9,1378.4,1358.1,1361.6,95.24063617467098,-1,95.24063617467098,118.31490581490606
1330552800,1361.6,1377.6,1360.1,1376.1,110.22477783586102,0,110.22477783586102,95.24063617467098
1330639200,1376.1,1378.1,1366.2,1369.7,101.84799861832002,0,101.84799861832002,110.22477783586102
1330898400,1369.7,1369.7,1359.2,1364.2,80.2611464430214,-1,80.2611464430214,101.84799861832002
1330984800,1364.2,1366.3,1339.4,1342.9,30.621733784199925,0,30.621733784199925,80.2611464430214
1331071200,1342.9,1354.8,1342.6,1352.5,36.267735132594474,0,36.267735132594474,30.621733784199925
1331157600,1352.5,1369,1351.5,1366.2,73.77870822368641,0,73.77870822368641,36.267735132594474
1331244000,1366.2,1375.2,1363.9,1372.9,97.9888468228803,0,97.9888468228803,73.77870822368641
1331499600,1372.9,1373,1366.4,1372.7,95.8061463098724,0,95.8061463098724,97.9888468228803
1331586000,1372.7,1399.2,1372.7,1398.2,166.18132168214274,0,166.18132168214274,95.8061463098724
1331672400,1398.2,1400.2,1390.4,1392.9,165.93856170594094,0,165.93856170594094,166.18132168214274
1331758800,1392.9,1403.4,1391.2,1401.4,174.6644253160222,0,174.6644253160222,165.93856170594094
1331845200,1401.4,1406.4,1400.1,1404.1,178.1967860559442,0,178.1967860559442,174.6644253160222
1332104400,1404.1,1413.6,1399.4,1410.2,182.7193269214239,0,182.7193269214239,178.1967860559442
1332190800,1410.2,1410.6,1397.8,1406.6,163.08590991616597,0,163.08590991616597,182.7193269214239
1332277200,1406.6,1411.2,1400,1403,151.8320593819438,0,151.8320593819438,163.08590991616597
1332363600,1403,1406.2,1388.4,1395,118.91917164661349,0,118.91917164661349,151.8320593819438
1332450000,1395,1400.6,1386,1399,114.14012195642317,0,114.14012195642317,118.91917164661349
1332709200,1399,1420.2,1398,1420,168.6193231312871,0,168.6193231312871,114.14012195642317
1332795600,1420,1425,1411.4,1411.4,157.28940852537497,0,157.28940852537497,168.6193231312871
1332882000,1411.4,1417.2,1397.2,1405,118.99691090562582,0,118.99691090562582,157.28940852537497
1332968400,1405,1409,1391.4,1403.8,97.14662458658732,-1,97.14662458658732,118.99691090562582
1333054800,1403.8,1411,1401,1409.4,107.6509241575774,0,107.6509241575774,97.14662458658732
1333314000,1409.4,1422.6,1404,1416.2,120.95933231123473,0,120.95933231123473,107.6509241575774
1333400400,1416.2,1419,1404.4,1412.6,105.12547551847038,0,105.12547551847038,120.95933231123473
1333486800,1412.6,1413,1393.4,1397.4,64.24809273875888,-1,64.24809273875888,105.12547551847038
1333573200,1397.4,1402.2,1388.8,1395.6,46.2159041844244,0,46.2159041844244,64.24809273875888
1333659600,1395.6,1399.2,1376.6,1379.1,5.467833370825541,0,5.467833370825541,46.2159041844244
1333918800,1379.1,1387,1376.2,1379.6,-7.0069294489781075,0,-7.0069294489781075,5.467833370825541
